playlist_id,playlist_name
2829883282,[华语私人订制]最懂你的华语日推
2602222983,精选|网络热歌分享
2438292020,听说你也在找好听的华语歌
2651036663,那些好听到爆了的歌
2682044074,精选｜耳熟的翻唱合集
979321026,好听到单曲循环
2324451155,华语民谣：治愈孤独患者的暖心民谣歌单
2335673654,隔壁老樊/枯木逢春/解忧邵帅/尚士达/颜人中
575168245,你好2020♡
2347480105,你是年少的欢喜
2709514173,你会爱上这个流行华语歌单
2287380795,2019最新热歌分享（持续更新）
941306349,「华语」哭泣使人乞讨思念使人奔跑
2232237850,耳朵喜欢你好听到可以单曲循环
2353471182,攒了一大堆好听的歌想和你一起听
2578068117,2018年度最热新歌TOP100
2336047826,超好听的男声翻唱哦
2780667664,『失恋必听歌曲』你会突然听懂这些歌!
2429488976,『好听的翻唱Cover集』
981112680,支撑美术画画Or肝作业的力量耐听杂食
2715933347,精选｜Cover的那些循环歌曲
2979314208,民谣是枪，孤独上膛
3015005874,「翻唱」好听的歌永远没有完整版
2982252440,你是自己永远的伴侣请照顾好自己
2946227728,民谣一个人的孤独
2362006321,适合画画肝作业时听的歌
930563641,网络热歌分享〖持续更新〗
2748205282,隔壁老樊解忧邵帅
2521908373,爱民谣怎么会没故事/隔壁老樊
2445761489,孤独患者：隔壁老樊，北方的樊凯杰
2396572849,Gifty二嘉可乐美味叽叽方宇杰杜航万青姜鹏
2758023678,隔壁老樊•专属歌单
2279310366,民谣伴奏（持续更新）
2519421178,『吉他』-民谣伴奏(持续更新)
2818021270,隔壁老樊尚six花粥王贰浪枯木逢春
2580007951,黑胶VIP专享
2663967597,隔壁老樊-樊凯杰
2658928609,如果不曾看过太阳，本可忍受黑暗。
2353275887,精选丨林宥嘉薛之谦毛不易李荣浩陈奕迅
2846054862,用音乐保持你每天的嘴角上扬
2306664471,薛之谦陈奕迅李荣浩林宥嘉林俊杰郭顶
2557918409,KTV必点：有没有一首歌，唱着唱着就泪奔
2385384236,失恋必听歌单|因为你突然听懂了很多歌
2451836751,700首流行经典老歌|80/90/00后KTV怀旧珍藏
