album_id,album_name
75019098,我曾
80918751,这一生关于你的风景
83601943,我的姑娘她在远方
36157658,大风遇到了雨
79930825,得不到你
81881681,失乐
82853031,初秋和你
35515694,你是姑娘不是我的新娘
78763674,游
81531991,敬长安
80535453,如谁所愿
82041921,我和我的祖国
81699742,过命的弟兄
78570934,雪暴
80003734,尘
34780271,初学者
2681139,意外
3154175,绅士
74999481,怪咖
36855053,渡
17074,未完成的歌
3316028,一半
17072,几个薛之谦
34861909,来日方长
34749139,重返十七岁
83878976,麻雀
73914415,耳朵
13140,小黄
36796018,戒烟
3131104,不将就
34567265,有理想
3056204,喜剧之王
3109627,热门华语262
2659088,模特
3075071,李荣浩
34861281,不说
73326637,中国新说唱第10期
36225128,我看着你的时候
3142035,我是歌手第三季第4期
36451504,祝你幸福
36037408,歌谣
35634713,就这样
34427077,满座
35535114,嗯
36525767,后羿
35845270,裙姊
36784299,嗯
83535299,下山
82606706,多情种
83770626,卑微小调
82159941,好男人都死哪去了
83643019,琴师
83406763,画心(男生版)
83535252,卑微小调
84054392,常乐
83609543,多情种
84236870,慕夏
2301158,因你而在
3056951,新地球
10750,学不会
10755,她说概念自选辑
10770,JJ陆
10804,第二天堂
10766,100天
81704189,将故事写成我们
10792,曹操
10799,编号89757
34608091,我是歌手第四季歌王之战
24803,不可思议金选
10777,西界
79630781,我们很好
3438282,和自己对话FromM.E.ToMyself
10808,乐行者
3270689,最佳前男友电视原声带
34739607,超越无限
6451,What'sGoingOn…?
38296010,我们
6434,认了吧
2801259,rice&shine
6452,LifeContinues…
6491,U-87
6375,TimeFlies
6341,？
6365,DUO陈奕迅2010演唱会
6454,GetALife演唱会
6355,StrangerUnderMySkin
3142085,我是歌手第三季总决赛
2685339,ConcertYY黄伟文作品展演唱会
6394,Solidays新曲+精选
6335,...3mm
6388,H³M
2261091,梦想天空分外蓝
18932,ReImagineLeslieCheung
6604,婚礼的祝福
2518003,TheKey
6410,EasonMovingOnStage1
80235030,相信你的人
3279543,无条件唱陈奕迅
34923261,四季
511843,承诺
23950,美好岁月
3404003,SleepAlone
82895847,你的答案
75422117,太多
73535571,有机会一起抽烟
82495902,二十四（demo）
78938226,听闻余生
78408655,夺走我爱情的刺客
78546201,月下的誓言
78462644,狼性
78570420,晚安
81762080,嗜好
79591241,祝你爱我到天荒地老
75473750,有可能的夜晚
83770787,失眠症候群
78829908,孤单心事
82595937,初恋那件小事电视剧原声带
